frame_id,source_video,video_id,source_frame_idx,timestamp_ms,diff_from_prev,kept
Screen_Recording_2026-07-03_at_12.06.59 AM_002874.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2874,89663,3.71,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002877.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2877,89763,6.0,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002880.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2880,89843,7.69,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002883.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2883,89923,8.75,True
Screen_Recording_2026-07-03_at_12.06.59 AM_002886.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2886,90043,3.45,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002889.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2889,90123,4.2,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002892.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2892,90243,3.92,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002895.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2895,90343,3.79,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002898.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2898,90423,5.02,False
Screen_Recording_2026-07-03_at_12.06.59 AM_002901.jpg,Screen Recording 2026-07-03 at 12.06.59 AM.mov,Screen_Recording_2026-07-03_at_12.06.59 AM,2901,90523,6.56,False
